Pos,Title,Director,Year,Country,Length,Genre,Colour
1,Citizen Kane,"Welles, Orson",1941,USA,119,Drama-Mystery,BW
2,Vertigo,"Hitchcock, Alfred",1958,USA,128,Thriller-Drama-Mystery,Col
3,2001: A Space Odyssey,"Kubrick, Stanley",1968,UK-USA,139,Science Fiction,Col
4,"Rules of the Game, The","Renoir, Jean",1939,France,113,Drama-Comedy,BW
5,Tokyo Story,"Ozu, Yasujiro",1953,Japan,134,Drama,BW
6,8½,"Fellini, Federico",1963,Italy,135,Drama,BW
7,"Godfather, The","Coppola, Francis Ford",1972,USA,175,Drama-Crime,Col
8,Sunrise,"Murnau, F.W.",1927,USA,110,Romance-Drama-Crime,BW
9,"Searchers, The","Ford, John",1956,USA,119,Western,Col
10,Seven Samurai,"Kurosawa, Akira",1954,Japan,200,Drama-Action-History,BW
11,Apocalypse Now,"Coppola, Francis Ford",1979,USA,150,War-Drama-Adventure,Col
12,Singin' in the Rain,"Donen, Stanley/Gene Kelly",1952,USA,102,Musical-Dance-Comedy,Col
13,Bicycle Thieves,"De Sica, Vittorio",1948,Italy,90,Drama,BW
14,Battleship Potemkin,"Eisenstein, Sergei",1925,USSR,71,War-History,BW
15,Taxi Driver,"Scorsese, Martin",1976,USA,113,Drama-Crime,Col
16,Breathless,"Godard, Jean-Luc",1960,France,89,Romance-Drama-Crime,BW
17,"Atalante, L'","Vigo, Jean",1934,France,89,Romance-Drama,BW
18,"Passion of Joan of Arc, The","Dreyer, Carl Theodor",1928,France,110,History-Drama-Biography,BW
19,Persona,"Bergman, Ingmar",1966,Sweden,83,Drama-Thriller,BW
20,"Man with a Movie Camera, The","Vertov, Dziga",1929,USSR,80,Documentary-Avant-Garde,BW
21,Rashomon,"Kurosawa, Akira",1950,Japan,88,Drama-Crime,BW
22,Psycho,"Hitchcock, Alfred",1960,USA,109,Thriller-Horror,BW
23,Andrei Rublev,"Tarkovsky, Andrei",1966,USSR,185,History-Biography,Col-BW
24,"400 Blows, The","Truffaut, François",1959,France,99,Drama,BW
25,Raging Bull,"Scorsese, Martin",1980,USA,128,Sport-Drama-Biography,BW
26,"Godfather Part II, The","Coppola, Francis Ford",1974,USA,200,Drama-Crime,Col
27,City Lights,"Chaplin, Charles",1931,USA,86,Romance-Comedy,BW
28,Some Like it Hot,"Wilder, Billy",1959,USA,119,Romance-Crime-Comedy,BW
29,"Mirror, The","Tarkovsky, Andrei",1975,USSR,108,Drama-Biography,Col-BW
30,"Dolce vita, La","Fellini, Federico",1960,Italy,175,Drama,BW
31,Touch of Evil,"Welles, Orson",1958,USA,108,Thriller-Crime,BW
